Video_Path,FPS,Total_Frames,Duration_Sec
UCF50/JumpRope/v_JumpRope_g22_c04.avi,29.97002997002997,246,8.21
UCF50/JumpRope/v_JumpRope_g07_c06.avi,29.97002997002997,403,13.45
UCF50/JumpRope/v_JumpRope_g02_c04.avi,29.97002997002997,500,16.68
UCF50/JumpRope/v_JumpRope_g11_c06.avi,29.97002997002997,510,17.02
UCF50/JumpRope/v_JumpRope_g26_c01.avi,29.97002997002997,331,11.04
UCF50/JumpRope/v_JumpRope_g05_c02.avi,29.97002997002997,620,20.69
UCF50/JumpRope/v_JumpRope_g11_c02.avi,29.97002997002997,533,17.78
UCF50/JumpRope/v_JumpRope_g04_c04.avi,29.97002997002997,546,18.22
UCF50/JumpRope/v_JumpRope_g01_c01.avi,29.97002997002997,257,8.58
UCF50/JumpRope/v_JumpRope_g03_c04.avi,29.97002997002997,316,10.54
UCF50/JumpRope/v_JumpRope_g15_c06.avi,29.97002997002997,496,16.55
UCF50/JumpRope/v_JumpRope_g14_c03.avi,29.97002997002997,298,9.94
UCF50/JumpRope/v_JumpRope_g15_c03.avi,29.97002997002997,488,16.28
UCF50/JumpRope/v_JumpRope_g10_c04.avi,29.97002997002997,571,19.05
UCF50/JumpRope/v_JumpRope_g09_c07.avi,29.97002997002997,491,16.38
UCF50/JumpRope/v_JumpRope_g11_c05.avi,29.97002997002997,495,16.52
UCF50/JumpRope/v_JumpRope_g12_c01.avi,29.97002997002997,374,12.48
UCF50/JumpRope/v_JumpRope_g01_c04.avi,29.97002997002997,206,6.87
UCF50/JumpRope/v_JumpRope_g19_c02.avi,29.97002997002997,293,9.78
UCF50/JumpRope/v_JumpRope_g24_c04.avi,29.97002997002997,430,14.35
UCF50/JumpRope/v_JumpRope_g13_c05.avi,29.97002997002997,391,13.05
UCF50/JumpRope/v_JumpRope_g03_c01.avi,29.97002997002997,294,9.81
UCF50/JumpRope/v_JumpRope_g16_c02.avi,29.97002997002997,486,16.22
UCF50/JumpRope/v_JumpRope_g10_c03.avi,29.97002997002997,605,20.19
UCF50/JumpRope/v_JumpRope_g03_c03.avi,29.97002997002997,294,9.81
UCF50/JumpRope/v_JumpRope_g12_c03.avi,29.97002997002997,398,13.28
UCF50/JumpRope/v_JumpRope_g18_c03.avi,29.97002997002997,447,14.91
UCF50/JumpRope/v_JumpRope_g20_c07.avi,29.97002997002997,476,15.88
UCF50/JumpRope/v_JumpRope_g25_c05.avi,29.97002997002997,391,13.05
UCF50/JumpRope/v_JumpRope_g18_c01.avi,29.97002997002997,364,12.15
UCF50/JumpRope/v_JumpRope_g22_c01.avi,29.97002997002997,198,6.61
UCF50/JumpRope/v_JumpRope_g06_c01.avi,29.97002997002997,387,12.91
UCF50/JumpRope/v_JumpRope_g05_c01.avi,29.97002997002997,622,20.75
UCF50/JumpRope/v_JumpRope_g15_c04.avi,29.97002997002997,489,16.32
UCF50/JumpRope/v_JumpRope_g07_c03.avi,29.97002997002997,388,12.95
UCF50/JumpRope/v_JumpRope_g10_c01.avi,29.97002997002997,599,19.99
UCF50/JumpRope/v_JumpRope_g02_c07.avi,29.97002997002997,510,17.02
UCF50/JumpRope/v_JumpRope_g08_c05.avi,29.97002997002997,509,16.98
UCF50/JumpRope/v_JumpRope_g23_c05.avi,29.97002997002997,242,8.07
UCF50/JumpRope/v_JumpRope_g04_c06.avi,29.97002997002997,537,17.92
UCF50/JumpRope/v_JumpRope_g18_c04.avi,29.97002997002997,382,12.75
UCF50/JumpRope/v_JumpRope_g26_c02.avi,29.97002997002997,390,13.01
UCF50/JumpRope/v_JumpRope_g12_c04.avi,29.97002997002997,398,13.28
UCF50/JumpRope/v_JumpRope_g20_c06.avi,29.97002997002997,526,17.55
UCF50/JumpRope/v_JumpRope_g06_c05.avi,29.97002997002997,366,12.21
UCF50/JumpRope/v_JumpRope_g21_c03.avi,29.97002997002997,525,17.52
UCF50/JumpRope/v_JumpRope_g16_c01.avi,29.97002997002997,539,17.98
UCF50/JumpRope/v_JumpRope_g24_c06.avi,29.97002997002997,384,12.81
UCF50/JumpRope/v_JumpRope_g09_c03.avi,29.97002997002997,500,16.68
UCF50/JumpRope/v_JumpRope_g20_c02.avi,29.97002997002997,527,17.58
UCF50/JumpRope/v_JumpRope_g24_c02.avi,29.97002997002997,391,13.05
